pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,compression_ratio,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.25,50,1,182117565.0,0.25,1,0.0,-1,-1,-1,4.513719353155973,76680,77424,24.558444023132324,-1,-1
0.25,50,1,182117565.0,0.25,2,1.1556952662721893e-05,-1,-1,-1,49.024362606232295,7060,7804,21.710505485534668,-1,-1
0.25,50,1,213915870.0,0.25,3,0.0,-1,-1,-1,93.67036535859269,3695,4439,17.813875675201416,-1,-1
0.25,50,1,213915870.0,0.25,4,0.0,-1,-1,-1,88.24885262621112,3922,4666,16.082438230514526,-1,-1
0.25,50,1,213915870.0,0.25,5,0.0,-1,-1,-1,109.52911392405063,3160,3904,14.284831285476685,-1,-1
0.25,50,1,213915870.0,0.25,6,0.0,-1,-1,-1,126.27216344399854,2741,3485,13.084499835968018,-1,-1
0.25,50,1,213915870.0,0.25,7,0.5400332840236687,-1,-1,-1,8.301242384995444,41694,42438,24.114489555358887,-1,-1
0.25,50,1,213915870.0,0.25,8,0.5644300110946746,-1,-1,-1,52.64060836501901,6575,7319,20.211734771728516,-1,-1
0.25,50,1,213915870.0,0.25,9,0.530545025887574,-1,-1,-1,98.55125284738041,3512,4256,16.819242238998413,-1,-1
0.25,50,1,213915870.0,0.25,10,0.5380570451183432,-1,-1,-1,98.29934677648396,3521,4265,15.25073766708374,-1,-1
0.25,50,1,213915870.0,0.25,11,0.5509083764792899,-1,-1,-1,121.23012259194395,2855,3599,13.283734321594238,-1,-1
0.25,50,1,213915870.0,0.25,12,0.41932091346153844,-1,-1,-1,134.3081102056655,2577,3321,12.373554706573486,-1,-1
0.25,50,1,213915870.0,0.25,13,0.7961006841715976,-1,-1,-1,8.804904729196876,39309,40053,16.733505725860596,-1,-1
0.25,50,1,213915870.0,0.25,14,0.7539524778106509,-1,-1,-1,46.74662344678552,7404,8148,16.903057098388672,-1,-1
0.25,50,1,213915870.0,0.25,15,0.7565527921597633,-1,-1,-1,73.81360631264661,4689,5433,15.511105060577393,-1,-1
0.25,50,1,213915870.0,0.25,16,0.7612333579881657,-1,-1,-1,88.22635737955646,3923,4667,13.956491947174072,-1,-1
0.25,50,1,213915870.0,0.25,17,0.7636025332840237,-1,-1,-1,110.22675159235669,3140,3884,12.570210695266724,-1,-1
0.25,50,1,213915870.0,0.25,18,0.7568879437869822,-1,-1,-1,154.58329611433675,2239,2983,11.131397485733032,-1,-1
0.25,50,1,213915870.0,0.25,19,0.9102255917159763,-1,-1,-1,9.000208029956314,38456,39200,12.780903577804565,-1,-1
0.25,50,1,213915870.0,0.25,20,0.9087809726331361,-1,-1,-1,39.11312012656797,8849,9593,12.67979621887207,-1,-1
0.25,50,1,213915870.0,0.25,21,0.9132766272189349,-1,-1,-1,71.55509613396734,4837,5581,11.91158652305603,-1,-1
0.25,50,1,213915870.0,0.25,22,0.9136811205621301,-1,-1,-1,99.71535580524345,3471,4215,10.98694920539856,-1,-1
0.25,50,1,213915870.0,0.25,23,0.9131841715976331,-1,-1,-1,126.08816029143898,2745,3489,9.93637502193451,-1,-1
0.25,50,1,213915870.0,0.25,24,0.9144323224852071,-1,-1,-1,132.81350729086722,2606,3350,9.083395004272461,-1,-1
0.25,50,1,213915870.0,0.25,25,0.9719743897928994,-1,-1,-1,12.75095785440613,27144,27888,9.36189889907837,-1,-1
0.25,50,1,213915870.0,0.25,26,0.9721130732248521,-1,-1,-1,62.35128805620609,5551,6295,9.130625128746033,-1,-1
0.25,50,1,213915870.0,0.25,27,0.9739621856508875,-1,-1,-1,111.46924315619968,3105,3849,8.754065036773682,-1,-1
0.25,50,1,213915870.0,0.25,28,0.96875,-1,-1,-1,130.55903432666918,2651,3395,8.217391967773438,-1,-1
0.25,50,1,213915870.0,0.25,29,0.9684495192307693,-1,-1,-1,142.49156031288595,2429,3173,7.645878791809082,-1,-1
0.25,50,1,213915870.0,0.25,30,0.9734536797337278,-1,-1,-1,172.28073668491788,2009,2753,7.159140706062317,-1,-1
0.25,50,1,213915870.0,0.25,31,0.9935974482248521,-1,-1,-1,28.503005846990035,12143,12887,7.156679034233093,-1,-1
0.25,50,1,213915870.0,0.25,32,0.9957932692307693,-1,-1,-1,108.12621055920025,3201,3945,6.891538500785828,-1,-1
0.25,50,1,182117565.0,0.25,33,0.9957354844674556,-1,-1,-1,135.2,2560,3304,6.67496383190155,-1,-1
0.25,50,1,182117565.0,0.25,34,0.9947069156804734,-1,-1,-1,180.4546402502607,1918,2662,6.397563219070435,-1,-1
0.25,50,1,182117565.0,0.25,35,0.9944642196745562,-1,-1,-1,188.51416122004358,1836,2580,5.882774591445923,-1,-1
0.25,50,1,213915870.0,0.25,36,0.9959319526627219,-1,-1,-1,202.9982404692082,1705,2449,5.36190390586853,-1,-1
0.25,50,1,213915870.0,0.25,37,0.0,-1,-1,-1,6.665228778308427,51928,52672,31.22715473175049,-1,-1
0.25,50,1,213915870.0,0.25,38,0.0,-1,-1,-1,37.40942498919153,9252,9996,19.54467535018921,-1,-1
0.25,50,1,213915870.0,0.25,39,0.0,-1,-1,-1,60.10976033344912,5758,6502,15.800105333328247,-1,-1
0.25,50,1,213915870.0,0.25,40,0.0,-1,-1,-1,72.6973324931737,4761,5505,13.582268953323364,-1,-1
0.25,50,1,213915870.0,0.25,41,0.0,-1,-1,-1,86.65798698047071,3994,4738,11.444463729858398,-1,-1
0.25,50,1,213915870.0,0.25,42,0.0,-1,-1,-1,146.71979652395083,2359,3103,9.904277324676514,-1,-1
0.25,50,1,213915870.0,0.25,43,0.5107479659763313,-1,-1,-1,7.534492892439646,45937,46681,21.36587619781494,-1,-1
0.25,50,1,213915870.0,0.25,44,0.49669471153846156,-1,-1,-1,33.56074856976631,10313,11057,19.585306644439697,-1,-1
0.25,50,1,213915870.0,0.25,45,0.47152366863905326,-1,-1,-1,59.30637422892392,5836,6580,16.179040670394897,-1,-1
0.25,50,1,213915870.0,0.25,46,0.4712116309171598,-1,-1,-1,80.50988602000466,4299,5043,13.557379245758057,-1,-1
0.25,50,1,213915870.0,0.25,47,0.4748751849112426,-1,-1,-1,134.6739299610895,2570,3314,11.300402879714966,-1,-1
0.25,50,1,213915870.0,0.25,48,0.36393999630177515,-1,-1,-1,104.75544794188862,3304,4048,10.912408828735352,-1,-1
0.25,50,1,213915870.0,0.25,49,0.7702015532544378,-1,-1,-1,8.247634933873465,41965,42709,15.472917556762695,-1,-1
0.25,50,1,213915870.0,0.25,50,0.751745099852071,-1,-1,-1,39.24617303549155,8819,9563,15.35539984703064,-1,-1
0.25,50,1,213915870.0,0.25,51,0.7591068786982249,-1,-1,-1,57.868583848854705,5981,6725,14.460151195526123,-1,-1
0.25,50,1,213915870.0,0.25,52,0.7658676960059172,-1,-1,-1,80.92401215805471,4277,5021,12.85407304763794,-1,-1
0.25,50,1,213915870.0,0.25,53,0.7704673631656804,-1,-1,-1,97.68896415467118,3543,4287,11.529425382614136,-1,-1
0.25,50,1,213915870.0,0.25,54,0.7697855029585798,-1,-1,-1,101.08411214953271,3424,4168,9.779187440872192,-1,-1
0.25,50,1,213915870.0,0.25,55,0.9097517566568047,-1,-1,-1,8.587960895240931,40302,41046,10.206406116485596,-1,-1
0.25,50,1,213915870.0,0.25,56,0.9054410133136095,-1,-1,-1,32.41356059187114,10678,11422,10.097976922988892,-1,-1
0.25,50,1,213915870.0,0.25,57,0.9083533653846154,-1,-1,-1,54.07155132010623,6401,7145,9.980232119560242,-1,-1
0.25,50,1,213915870.0,0.25,58,0.9099944526627219,-1,-1,-1,71.89696717906108,4814,5558,8.428603410720825,-1,-1
0.25,50,1,213915870.0,0.25,59,0.9116586538461539,-1,-1,-1,92.27192748600373,3751,4495,8.089220523834229,-1,-1
0.25,50,1,213915870.0,0.25,60,0.9160040680473372,-1,-1,-1,102.82590612002377,3366,4110,8.091320395469666,-1,-1
0.25,50,1,213915870.0,0.25,61,0.9755801590236687,-1,-1,-1,11.981583411223042,28887,29631,8.428527116775513,-1,-1
0.25,50,1,213915870.0,0.25,62,0.9793130547337278,-1,-1,-1,57.029494150601415,6069,6813,8.385083675384521,-1,-1
0.25,50,1,213915870.0,0.25,63,0.9814164201183432,-1,-1,-1,88.61034306195596,3906,4650,8.25814962387085,-1,-1
0.25,50,1,213915870.0,0.25,64,0.983462000739645,-1,-1,-1,122.73475177304965,2820,3564,8.08573842048645,-1,-1
0.25,50,1,213915870.0,0.25,65,0.9826645710059172,-1,-1,-1,153.89595375722544,2249,2993,7.7411311864852905,-1,-1
0.25,50,1,182117565.0,0.25,66,0.9846176960059172,-1,-1,-1,169.0,2048,2792,7.411223649978638,-1,-1
0.25,50,1,182117565.0,0.25,67,0.9983357988165681,-1,-1,-1,59.144224196855774,5852,6596,7.326558828353882,-1,-1
0.25,50,1,182117565.0,0.25,68,0.9984975961538461,-1,-1,-1,129.6785312851255,2669,3413,7.2349220514297485,-1,-1
0.25,50,1,182117565.0,0.25,69,0.9982317862426036,-1,-1,-1,154.9986565158979,2233,2977,7.142699956893921,-1,-1
0.25,50,1,182117565.0,0.25,70,0.9982780140532544,-1,-1,-1,179.2397721387882,1931,2675,6.956877708435059,-1,-1
0.25,50,1,182117565.0,0.25,71,0.9977232803254438,-1,-1,-1,210.2746051032807,1646,2390,6.581016778945923,-1,-1
0.25,50,1,182117565.0,0.25,72,0.9981624445266272,-1,-1,-1,200.2962962962963,1728,2472,6.235262155532837,-1,-1
0.25,50,1,213915870.0,0.25,73,0.0,-1,-1,-1,5.9270827981847765,58395,59139,34.00215148925781,-1,-1
0.25,50,1,213915870.0,0.25,74,0.0,-1,-1,-1,42.49901768172888,8144,8888,22.184536457061768,-1,-1
0.25,50,1,213915870.0,0.25,75,0.0,-1,-1,-1,64.0236773954865,5406,6150,16.589083671569824,-1,-1
0.25,50,1,213915870.0,0.25,76,0.0,-1,-1,-1,65.40287226001512,5292,6036,15.569113492965698,-1,-1
0.25,50,1,213915870.0,0.25,77,0.0,-1,-1,-1,75.22538578569876,4601,5345,14.81128454208374,-1,-1
0.25,50,1,213915870.0,0.25,78,0.0,-1,-1,-1,136.1573564122738,2542,3286,13.118966817855835,-1,-1
0.25,50,1,213915870.0,0.25,79,0.5113720414201184,-1,-1,-1,7.535805264647609,45929,46673,23.072898387908936,-1,-1
0.25,50,1,213915870.0,0.25,80,0.5290310650887574,-1,-1,-1,33.16837565884044,10435,11179,18.12090277671814,-1,-1
0.25,50,1,213915870.0,0.25,81,0.4773599297337278,-1,-1,-1,57.84923951195053,5983,6727,17.176512479782104,-1,-1
0.25,50,1,213915870.0,0.25,82,0.5591947115384616,-1,-1,-1,70.57748776508973,4904,5648,10.680080652236938,-1,-1
0.25,50,1,213915870.0,0.25,83,0.5271241678994083,-1,-1,-1,48.63172685120135,7117,7861,12.892991304397583,-1,-1
0.25,50,1,213915870.0,0.25,84,0.48138174926035504,-1,-1,-1,99.11569301260023,3492,4236,12.763286828994751,-1,-1
